,sys ,n\d,Algorithm 1,mp-rc, NRSI ,mt-solve, mp-rt , IRA,mp-radical
cm[1],4-body-homog,3\8,0.75,0.34,0.9,0.29,0.26,0.95,4.69
cm[2],5-body-homog,3\8,1.57,0.41,1.81,0.31,0.18,2.03,5.11
cm[3],Arnborg-Lazard,3\6,0.03,0.07,0.07,0.04,0.13,0.06,0.96
cm[4],Arnborg-Lazard-rev,3\6,0.01,0.07,0.07,0.04,0.13,0.02,0
cm[5],Barry,3\4,0.01,0.02,0.03,0,0.12,0.03,0.37
cm[6],Caprasse,4\4,0.07,0.46,0.18,0.05,0.14,0.15,4.99
cm[7],Caprasse-Li,4\4,0.05,0.48,0.13,0.05,0.14,0.11,0
cm[8],chemical-reaction,4\3,0.01,0.03,0.04,0.01,0.12,0.12,0.4
cm[9],circles,2\10,2.09,0.04,9.68,0.02,0.33,2.18,0.43
cm[10],cyclic-5,5\5,0.07,0.79,0.15,0.06,0.16,0.22,9.23
cm[11],Czapor-Geddes-Wang,5\6,0.05,0.19,0.08,0.09,0.39,0.07,0.98
cm[12],fabfaux,3\3,0.05,0.14,0.07,0.05,0.18,0.07,0.69
cm[13],geometric-constraints,3\2,0.02,0.01,0.06,0,0.16,0.03,0.37
cm[14],GonzalezGonzalez,3\3,0.02,0.01,0.04,0,0.13,0.03,0.41
cm[15],Katsura-4,5\2,0.03,1.29,0.17,0.04,0.17,0.06,1.7
cm[16],lhlp1,3\7,0.02,0.02,0.06,0,0.12,0.04,0.67
cm[17],lhlp2,3\9,0.02,0.01,0.15,0,0.12,0.04,0.36
cm[18],lhlp3,3\6,0.01,0.01,0.04,0,0.13,0.03,0.4
cm[19],lhlp4,2\7,0.02,0.01,0.03,0.01,0.15,0.03,0.48
cm[20],lhlp5,3\3,0.02,0.04,0.05,0.01,0.19,0.04,0.53
cm[21],lhlp6,4\2,0.04,0.06,0.08,0.01,0.18,0.13,1.48
cm[22],neural-network,4\6,0.14,3.28,0.48,0.22,0.29,0.42,3.21
cm[23],nld-3-4,4\3,0.2,0.97,0.35,0.04,0.3,1.47,11.58
cm[24],nld-3-5,5\3,2.71,9.38,3.51,0.82,10.17,41.53,45.39
cm[25],nld-4-5,5\4,35.3,OT,35.64,1095.42,1522.17,368.91,88.79
cm[26],nld-7-3,3\7,1.2,0.41,1.47,0.29,10.78,3.33,12.31
cm[27],nld-8-3,3\8,3.86,0.25,6.74,1.13,49.88,5.05,2118.09
cm[28],nld-9-3,3\9,22.22,0.65,47.5,2.71,191.98,39.02,OT
cm[29],nld-10-3,3\10,109.9,0.5,130.42,12.39,670.93,117.18,OT
cm[30],nql-5-4,5\4,0,0.02,0.07,0,12.62,0.02,12.65
cm[31],nql-10-2,10\2,0.01,0.07,0.12,0.01,27.48,0.01,7.22
cm[32],nql-10-4,10\4,0.01,0.09,0.14,0,OT,0.02,OT
cm[33],nql-15-2,15\2,0.01,0.17,0.18,0.02,OT,0.01,OT
cm[34],p3p-special,5\6,0.14,0.22,0.46,0.02,1.43,0.56,2.28
cm[35],PlateForme2d-easy,6\2,0.04,0.2,0.04,0.06,0.65,0.07,0.52
cm[36],r-5,5\6,0.04,0.08,0.06,0,0.35,0.18,2.88
cm[37],r-6,6\7,0.06,0.23,0.07,0,478.62,0.21,12.09
cm[38],Reif,16\2,0.02,0.8,0.02,OT,0.07,0.02,0.17
cm[39],Rose,3\9,1.26,0.15,3.14,0.17,0.45,2.1,5.78
cm[40],simple-nql-20-30,20\30,0.01,0.28,0.66,0.12,OT,0.01,LOSS
cm[41],Takeuchi-Lu,4\2,0.09,0.06,0.19,0.02,0.12,0.19,0.32
cm[42],Themos-net,6\2,0.28,1.32,0.28,0.07,0.96,0.48,0.42
cm[43],Trinks-2,6\3,0.01,OT,0.02,0.01,0.11,0.03,0.04
cm[44],Trinks-difficult,6\3,0.12,OT,0.16,0.02,0.31,0.18,0.26
cm[45],Uteshev-Bikker,4\3,0.29,OT,0.63,0.25,1.16,0.49,1.22
cm[46],wilkinson20,1\21,0,0,0.03,0.01,0.04,0.01,0.11
cm[47],wilkinsonxy,2\5,0.07,0.05,0.78,0.01,0.17,0.19,0.27
cm[48],trivial-5,2\2,0.07,0.01,0.08,0,0.12,0.16,0.19
cm[49],nld-4-4,4\4,1.49,1.05,1.62,0.41,6.15,5.35,4.19
cm[50],nld-5-4,4\5,12.73,35.31,13.04,6.8,260,60.18,19.36
cm[51],nld-6-4,4\6,83.83,OT,86.06,103.09,2918.52,183.19,878.51
cm[52],nld-5-3,3\5,0.3,0.17,0.34,0.03,0.45,0.9,1.73
wang[1],wang_ex9,2\8,0.25,0.06,0.28,0.01,0.13,0.53,0.57
wang[2],wang_ex15,3\2,0.11,0.03,0.13,0.01,0.19,0.15,0.18
wang[3],wang_ex16,4\4,0.1,0.07,0.12,0.12,0.2,0.17,0.31
wang[4],wang_ex21,5\5,0.34,0.73,0.43,0.06,0.22,1.15,3.42
wang[5],wang_ex26,5\4,0.5,0.05,0.5,0.01,0.15,1.09,0.23
wang[6],wang_ex27,6\4,0.16,0.03,0.27,0.01,0.42,0.26,0.54
wang[7],wang_ex28,4\2,0.07,0.05,0.11,0.01,0.19,0.11,0.39
wang[8],wang_ex34,14\5,0.09,34.64,0.11,OT,0.21,0.14,0.07
wang[9],wang_ex36,2\2,0.07,0.01,0.07,0,0.11,0.2,0.19
wang[10],wang_ex37,3\2,0.07,0.02,0.09,0,0.19,0.11,0.33
wang[11],wang_ex38,4\2,0.1,0.05,0.19,0.01,0.13,0.12,0.34
wang[12],wang_ex39,5\2,0.09,0.13,0.28,0.05,0.19,0.23,0.61
wang[13],wang_ex40,6\2,0.15,OT,0.77,0.37,0.36,0.26,0.65
wang[14],wang_ex43,3\9,1.07,0.09,2.24,0.73,0.27,1.26,1.83
wang[15],wang_ex45,6\3,0.2,0.04,0.23,0.02,0.28,0.26,0.49
wang[16],wang_ex46,6\3,0.12,0.04,0.12,0,0.11,0.13,0
da1[1],boon,6\4,0.09,OT,0.19,0.02,0.13,0.13,0.35
da1[2],eco6,6\3,0.1,0.24,0.16,0.05,0.12,0.15,0.81
da1[3],mickey,2\2,0.07,0,0.08,0,0.11,0.11,0.11
da1[4],s9_1,8\2,0.2,0.15,0.32,0.02,0.14,0.27,0.34
da1[5],conform1,3\4,0.31,0.04,0.31,0.01,0.12,0.72,0.7
da1[6],eco7,7\3,0.17,3,0.42,0.28,0.15,0.26,0.89
da1[7],geneig,6\3,0.2,0.18,0.32,0.06,0.39,0.4,0.45
da1[8],noon3,3\3,0.09,0.26,0.42,0.02,0.12,0.92,1.2
da1[9],redcyc5,5\9,0.4,0.43,0.61,0.04,0.21,1.21,3.2
da1[10],sendra,2\7,0.25,0.02,0.31,0.06,0.23,0.29,4.18
da1[11],cpdm5,5\3,19.25,OT,19.64,13.46,2.9,55.57,16.28
da1[12],eco8,8\3,0.33,LOSS,0.75,2.03,0.27,0.44,1.49
da1[13],noon4,4\3,0.24,0.53,1.1,0.25,0.19,4.31,4.49
da1[14],redcyc6,6\11,1.01,OT,1.34,0.38,1.91,3.38,9.43
da1[15],solotarev,4\3,0.09,0.04,0.12,0,0.12,0.41,0.6
da1[16],noon5,5\3,2.35,6.88,5.37,4.18,7.44,25.71,17.98
da1[17],redcyc7,7\13,44.22,LOSS,55.25,OT,1684.53,570.98,166.93
da1[18],sparse5,5\10,0.1,0.73,0.11,0.01,1.22,0.17,2.33
da1[19],cyclic6,6\6,1.18,OT,1.52,1.02,1.24,3.93,12.68
da1[20],extcyc6,6\6,5.88,OT,7.36,43.9,3.25,38.25,15.62
da1[21],cyclic7,7\7,76.7,OT,90.17,OT,691.37,859.5,290.58
da1[22],puma,8\2,0.14,0.29,1.39,0.18,0.68,1.95,3.12
da1[23],redeco5,5\2,0.1,0.07,0.14,0.01,0.14,0.16,0.82
da1[24],trink,6\3,0.25,0.07,0.28,0.02,0.38,0.37,0.35
da1[25],cassou,4\8,0.23,OT,0.29,0.06,0.36,0.35,0.76
da1[26],katsura5,6\2,0.3,2423.94,0.53,0.34,0.52,0.51,1.5
da1[27],quadfor2,4\4,0.11,0.03,0.13,0,0.07,0.16,0.34
da1[28],redeco6,6\2,0.19,0.15,0.24,0.03,0.12,0.19,1.22
da1[29],virasoro,8\2,125.48,OT,128.64,OT,31.66,2477.53,146.24
da1[30],d1,12\3,4.9,OT,8.37,0.77,6.03,13.95,675.68
da1[31],kin1,12\3,22,OT,39.9,1.16,19.69,39.74,902.41
da1[32],redeco7,7\2,0.27,0.3,0.47,0.3,0.15,0.37,1.91
da1[33],des18_3,8\3,22.15,OT,22.83,1.74,1.99,32.89,3.61
da1[34],kinema,9\2,0.85,OT,1.27,1.34,0.56,1.19,2.78
da1[35],rabmo,9\5,0.46,84.5,0.68,0.32,0.42,0.68,0.9
da1[36],redeco8,8\2,0.58,5.09,1.06,2.63,0.29,0.75,2.8
da1[37],wright,5\2,2.12,0.75,2.4,0.03,0.16,6.72,10.75
